order_id,customer_name,email,order_date,product,quantity,price,total,shipping_address,country,payment_status,notes
1001,Tonya Shaffer,wprice@gmail.com,10/8/2024,Monitor,1,55803,55803,"3323 Flores Curve Suite 147, Lake Lisa, WI 08164, India",India,Not Paid,Party always military but.
1002,Michelle Morrison,wanderson@hotmail.com,6/8/2025,Tablet,1,62336,62336,"934 Debra Plains, Port Kimberlyborough, WY 42454, India",india,Pending,
1003,Victoria Harmon,rachel24@hotmail.com,7/19/2025,Tablet,3,77482,232446,"50177 Jeremy Trail, New Victoriastad, DC 85571, India",IN,paid,Expect yourself performance send expert.
1004,Jennifer Wilson,kpage@hotmail.com,7/20/2025,Charger,3,969,2907,"15910 Miller Manors, Lake Kelly, CA 41434, India",India,Not Paid,
1005,Loretta Collins,kristinabarr@yahoo.com,3/17/2025,Monitor,3,12685,38055,"777 Fernandez Shores, Lake Debra, IL 28104, India",IN,Paid,
1006,Felicia Hughes,pcochran@olson.com,10/13/2024,Charger,3,20772,62316,"8554 Ward Islands, Lake Gregory, KY 48053, India",India,paid,Social guess.
1007,NaN,parmstrong@lee-olsen.info,7/6/2025,Charger,3,41955,125865,"7602 Rivera Islands Apt. 176, New Jackieville, OH 67645, India",India,Paid,Girl free today.
1008,Brittany Oneill,michelle51@gmail.com,5/2/2025,Mouse,1,78120,78120,"45118 Ortega Falls Apt. 480, Whitneymouth, UT 31439, India",IN,Paid,
1009,Ronald Booth,paul59@gmail.com,1/22/2025,Tablet,2,44972,89944,"41236 Alexander Wells Suite 385, Stephanieshire, VA 31094, India",IN,Paid,
1010,Sharon Pierce,jwood@ponce-jenkins.net,4/11/2025,Tablet,3,65343,196029,"7329 Ashley Meadows, West Michael, IL 58388, India",IN,Paid,
1011,Ryan Vaughan,cynthia62@johnston-bender.com,8/26/2024,Tablet,3,2876,8628,"837 Sharon Freeway Suite 221, Castromouth, CO 46788, India",IN,Not Paid,Best full office establish.
1012,Haley Harrison,rhill@hendrix-guzman.com,11/2/2024,Mouse,2,32207,64414,"72720 Cindy Dam, Davidtown, VT 17564, India",india,Not Paid,Event leave can term.
1013,Hector Baxter,whitedaniel@schneider-wilson.org,5/15/2025,Headphones,2,23053,46106,"6449 Perkins Well, West William, TN 69742, India",india,paid,
1014,David Bennett,dcameron@collins.info,,Monitor,1,76805,76805,"19543 Kevin Haven Suite 944, Maryberg, VA 84001, India",india,paid,
1015,John Robinson,iprice@hotmail.com,,Tablet,3,41070,123210,"899 Edward Way, Carterberg, SD 46252, India",india,paid,
1016,Christopher Martinez,gutierrezkara@yahoo.com,5/28/2025,Laptop,1,62734,62734,"PSC 9935, Box 8927, APO AA 78988, India",india,Pending,Blood data blood floor protect.
1017,Michelle Brooks,pdavies@rogers.com,4/9/2025,Phone,3,56164,168492,"189 Norris Unions Suite 399, West John, GA 06511, India",india,Pending,End effort social culture.
1018,Alan Hall,rachelpayne@arnold.net,11/18/2024,Monitor,2,28526,57052,"6878 Heather River Suite 162, Lake Julie, ME 22690, India",India,Not Paid,
1019,Laura Fischer,scottcastro@yahoo.com,6/14/2025,Keyboard,2,65755,,"69077 Perry Squares Suite 206, New Joshualand, CO 20602, India",India,Pending,Everybody dog compare show.
1020,Karen Stanley,jacksonrobert@miller.org,5/27/2025,Tablet,3,44887,134661,"95764 Mark Club, Erikaborough, IA 43326, India",India,Pending,Religious same region too decide.
1021,Gary Barrett,ynguyen@diaz.biz,4/13/2025,Charger,1,38049,38049,"851 Kristin Viaduct, Collinview, FL 74599, India",india,paid,Identify trial top town.
1022,Evelyn Kelly,goodmanelizabeth@ford.com,6/9/2025,Tablet,2,3944,7888,"44540 Allen Grove, Darrenport, LA 71837, India",India,Not Paid,Military mouth drop.
1023,Stacie Gilbert,jaimesexton@gmail.com,4/21/2025,Phone,1,61253,61253,"246 Jason Garden Suite 989, East Christopher, ME 04938, India",IN,Pending,Cultural herself star class.
1024,Ronnie Murphy,mbrown@rodriguez.com,12/13/2024,Keyboard,1,65589,65589,"339 Harvey Forest, Troyfurt, NC 45866, India",India,Not Paid,
1025,Sarah Carr,pevans@gmail.com,5/3/2025,Tablet,3,22895,,"11827 Ricky Flats Suite 042, Lake Kevinmouth, LA 28234, India",India,paid,Win long area suggest somebody.
1026,Tara Silva,andreadodson@rodriguez.com,7/29/2025,Monitor,3,26174,78522,"297 Barr Station Apt. 634, Nunezborough, CA 98289, India",India,paid,
1027,Nancy West,palmerpaul@gmail.com,11/11/2024,Mouse,3,45387,136161,"4011 Burton Isle Suite 053, Ortizmouth, FL 96369, India",IN,Paid,Policy role.
1028,Diane Gilbert,darrell27@martinez-compton.net,11/10/2024,Mouse,3,13633,40899,"USS Cohen, FPO AA 29433, India",India,paid,Modern option charge.
1029,NaN,garciamichael@thomas.com,8/10/2024,Tablet,3,43107,129321,"1440 Bell Square Apt. 438, Lake Oscar, MD 10145, India",india,Pending,Popular expect traditional.
1030,Kirsten Mitchell,julie24@carson-herrera.org,7/1/2025,Tablet,1,6108,6108,"5519 Hardy Mission, Ruthville, NH 52250, India",india,Pending,
1031,Amanda Moore,ashley12@hotmail.com,3/29/2025,Keyboard,2,25353,50706,"7083 Hubbard Mission Suite 263, Lake Jackland, GA 57531, India",India,paid,
1032,Jay Salinas,amycervantes@yahoo.com,7/31/2025,Tablet,1,24648,24648,"0321 Coffey Knolls Suite 212, West Sharonland, CO 22295, India",India,Paid,Forward between.
1033,Tammy Le,ysanchez@ortiz.org,2/21/2025,Monitor,3,16577,49731,"7168 Berry Loop, Katherineburgh, CT 96933, India",India,Pending,Visit national national.
1034,Jerry Haney,jmartinez@luna.net,7/10/2025,Mouse,1,37415,37415,"8921 Shane Stream Apt. 659, West Adamstad, MI 46738, India",IN,Not Paid,Hit draw.
1035,Brenda Richardson,baldwinbrandon@yahoo.com,11/10/2024,Charger,2,70836,141672,"245 Waters Well, Millerchester, MN 31317, India",India,Pending,Again traditional beat low arm.
1036,David Vargas,harpercindy@reed.org,11/7/2024,Keyboard,2,75034,150068,"74407 Burton Locks Suite 213, Crystalberg, DE 98590, India",india,Not Paid,
1037,Gary Gomez,mbarnes@hotmail.com,4/3/2025,Tablet,2,63551,,"39305 Robinson Forks, Hernandezstad, FL 25110, India",IN,Paid,
1038,James Sanchez,downsjohn@taylor.net,4/1/2025,Tablet,2,2939,5878,"0156 Johnson Haven, Port Michaelstad, IN 57279, India",India,Paid,Fall back should.
1039,Marisa Hoffman,kevinromero@stewart.info,3/13/2025,Headphones,1,46601,46601,"79199 Smith Pines Suite 854, Edwardtown, NY 93547, India",IN,Paid,
1040,Amber Myers,mtaylor@hotmail.com,9/11/2024,Laptop,2,70117,140234,"95326 Christine Circle, Evelynfurt, PA 90640, India",India,paid,Conference mention accept.
1041,Madison Smith,ndavis@todd-hernandez.net,4/10/2025,Phone,2,37902,75804,"6421 George Points Apt. 770, Mcdonaldbury, LA 98999, India",india,Not Paid,
1042,Jose Bailey,williamjackson@yahoo.com,4/17/2025,Keyboard,2,74398,148796,"837 Mark Prairie, West Christine, AR 61863, India",india,Not Paid,Laugh raise price and travel.
1043,Tonya Riley,castanedasonia@hotmail.com,,Monitor,1,46420,46420,"41917 Wright Canyon Suite 455, Port Melissabury, DE 94992, India",India,Not Paid,Church middle let general.
1044,Connie Walker,ybates@shaw.net,5/25/2025,Laptop,2,9512,19024,"0080 Wilson Mews Apt. 687, Rileyfort, WV 85481, India",india,paid,
1045,NaN,isaac51@jordan.com,4/6/2025,Phone,3,5061,15183,"7742 Sutton Ridge Suite 417, Danielsbury, WV 40944, India",India,Pending,Turn civil early.
1046,Robyn Howard,bramirez@murphy.com,2/9/2025,Keyboard,3,78789,236367,"797 Davis Haven Suite 040, Davidchester, MN 49104, India",IN,Pending,Between professional.
1047,Cory Sherman,audreyfitzgerald@gmail.com,2/2/2025,Headphones,3,14493,43479,"7434 Timothy Court, Port Kyle, WI 21154, India",India,Not Paid,
1048,Scott Klein,michelle29@lee-mcdowell.com,8/24/2024,Charger,2,53074,106148,"378 Courtney Village Suite 779, Stephanieshire, SD 21158, India",IN,Not Paid,
1049,Shelby Crawford,heidimckinney@brennan-davis.info,4/6/2025,Keyboard,1,75847,75847,"3404 Jones Gateway, Michaelville, MS 52254, India",india,Not Paid,
1050,Kristopher Mercer,belljanet@robinson.info,7/22/2025,Keyboard,3,12321,36963,"500 Edwin Stravenue, West Erin, VT 05299, India",IN,Not Paid,Support week administration.
1039,Marisa Hoffman,kevinromero@stewart.info,3/13/2025,Headphones,1,46601,46601,"79199 Smith Pines Suite 854, Edwardtown, NY 93547, India",IN,Paid,
