order_id,customer_name,email,order_date,product,quantity,price,total,shipping_address,country,payment_status
1001,Tonya Shaffer,wprice@gmail.com,2024-10-08,monitor,1,55803,55803,"3323 Flores Curve Suite 147, Lake Lisa, WI 08164, India",India,not paid
1002,Michelle Morrison,wanderson@hotmail.com,2025-06-08,tablet,1,62336,62336,"934 Debra Plains, Port Kimberlyborough, WY 42454, India",India,pending
1003,Victoria Harmon,rachel24@hotmail.com,2025-07-19,tablet,3,77482,232446,"50177 Jeremy Trail, New Victoriastad, DC 85571, India",India,paid
1004,Jennifer Wilson,kpage@hotmail.com,2025-07-20,charger,3,969,2907,"15910 Miller Manors, Lake Kelly, CA 41434, India",India,not paid
1005,Loretta Collins,kristinabarr@yahoo.com,2025-03-17,monitor,3,12685,38055,"777 Fernandez Shores, Lake Debra, IL 28104, India",India,paid
1006,Felicia Hughes,pcochran@olson.com,2024-10-13,charger,3,20772,62316,"8554 Ward Islands, Lake Gregory, KY 48053, India",India,paid
1007,customer_1,parmstrong@lee-olsen.info,2025-07-06,charger,3,41955,125865,"7602 Rivera Islands Apt. 176, New Jackieville, OH 67645, India",India,paid
1008,Brittany Oneill,michelle51@gmail.com,2025-05-02,mouse,1,78120,78120,"45118 Ortega Falls Apt. 480, Whitneymouth, UT 31439, India",India,paid
1009,Ronald Booth,paul59@gmail.com,2025-01-22,tablet,2,44972,89944,"41236 Alexander Wells Suite 385, Stephanieshire, VA 31094, India",India,paid
1010,Sharon Pierce,jwood@ponce-jenkins.net,2025-04-11,tablet,3,65343,196029,"7329 Ashley Meadows, West Michael, IL 58388, India",India,paid
1011,Ryan Vaughan,cynthia62@johnston-bender.com,2024-08-26,tablet,3,2876,8628,"837 Sharon Freeway Suite 221, Castromouth, CO 46788, India",India,not paid
1012,Haley Harrison,rhill@hendrix-guzman.com,2024-11-02,mouse,2,32207,64414,"72720 Cindy Dam, Davidtown, VT 17564, India",India,not paid
1013,Hector Baxter,whitedaniel@schneider-wilson.org,2025-05-15,headphones,2,23053,46106,"6449 Perkins Well, West William, TN 69742, India",India,paid
1016,Christopher Martinez,gutierrezkara@yahoo.com,2025-05-28,laptop,1,62734,62734,"PSC 9935, Box 8927, APO AA 78988, India",India,pending
1017,Michelle Brooks,pdavies@rogers.com,2025-04-09,phone,3,56164,168492,"189 Norris Unions Suite 399, West John, GA 06511, India",India,pending
1018,Alan Hall,rachelpayne@arnold.net,2024-11-18,monitor,2,28526,57052,"6878 Heather River Suite 162, Lake Julie, ME 22690, India",India,not paid
1019,Laura Fischer,scottcastro@yahoo.com,2025-06-14,keyboard,2,65755,131510,"69077 Perry Squares Suite 206, New Joshualand, CO 20602, India",India,pending
